id,name,description
80177250,Сотрудник ресторана быстрого питания,"<p>Хочешь зарабатывать? Благодаря гибкому графику можно легко совмещать учебу, работу и даже любимое хобби.<br /><br />В сеть предприятий быстрого обслуживания приглашаем работников.</p> <p><strong>В нашей дружной команде вы будете:</strong></p> <ul> <li>Принимать гостей и дарить им тот самый превосходный сервис в зале и на кассе</li> <li>Готовить наши знаменитые блюда из продуктов высочайшего качества</li> <li>Поддерживать зал в чистом и красивом виде, а гостей — в прекрасном настроении!</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное трудоустройство с первого дня</li> <li>Стабильная заработная плата и гибкая система премирования, выплаты 2 раза в месяц</li> <li>Индивидуальный график, позволяющий совмещать работу с тем, что важно для вас</li> <li>Бесплатное питание и униформа</li> <li>Оплачиваемые больничные листы и отпуска, в том числе учебные</li> <li>Карьера для каждого, вне зависимости от опыта</li> </ul> <p>Рабочий стаж, опыт не требуется, мы всему научим! Вакансия подходит для начинающих специалистов!<br /><br /><strong>После отклика мы Вам пришлем приглашение с контактами для связи. </strong></p> <p><strong>Звонить не надо! Оставляйте отклики, и Вам перезвонят. </strong></p>"
,,
,,
,,
,,
80485123,Кассир - продавец в ресторан,"<p><em>Привет!</em></p> <p>Мы ищем в команду кассира на:</p> <ul> <li><strong>заработную плату от 60 000 рублей;</strong></li> <li><strong>график 5/2.</strong></li> </ul> <p> </p> <p> </p> <p>Подробности ниже</p> <p><strong>_________________________________________________________________________________</strong></p> <p><em>Ищешь стабильность, быстрый карьерный рост и удобный график? Тогда тебе к нам!</em></p> <p>Рассматриваем<strong> БЕЗ ОПЫТА</strong> работы !</p> <p>П<strong>очасовая ставка 260р + % от продаж.</strong></p> <p><strong>Нам требуются кассиры по адресам:</strong></p> <ul> <li>3-я линия ВО, д. 62 (м. Спортивная)</li> <li>Большой Сампсониевский пр, 68 (м. Лесная)</li> <li>18-я линия ВО. д. 29 (м. Василеостровская)</li> <li>ул. Красного Курсанта, д. 31 (м. Чкаловская)</li> <li>ул. Академика Павлова, д. 5/В (м. Петроградская)</li> <li>ул. Кропоткина, 1 (м. Горьковская)</li> <li>ул. Чапаева, 15к2 (м. Горьковская)</li> <li>Московский пр., 60/129 (м. Технологический институт/ Фрунзенская)</li> <li>Брантовская дор. 3 (м. Ладожская/ Новочеркасская)</li> <li>Малоохтинский пр, 68 (м. Новочеркасская)</li> </ul> <p> </p> <p><strong>Мы предлагаем тебе:</strong></p> <ul> <li>график работы<strong> 5/2 по 10 часов </strong>(в субботу и воскресенье мы ОТДЫХАЕМ, все праздничные дни также выходные);</li> <li><strong>выплата</strong> зарплаты <strong>каждую неделю;</strong></li> <li>в нашей компании <strong>ОТСУТСТВУЮТ ШТРАФЫ</strong></li> <li><strong>БЕСПЛАТНОЕ и ВКУСНОЕ</strong> питание;</li> <li>стильная униформа;</li> <li>официальное оформление (оплата больничных и отпусков);</li> <li>обучение и поддержку на всех этапах работы;</li> <li>харизматичного управляющего и отзывчивого наставника;</li> <li>подбираем <strong>место</strong> работы <strong>ближе к дому!</strong></li> </ul> <p><strong>Что ты будешь делать:</strong></p> <ul> <li>дарить нашим гостям сервис и заботу;</li> <li>поддерживать уют и чистоту в зале;</li> <li>работать с кассой;</li> <li><strong>ничего выпекать или доготавливать не нужно!</strong></li> </ul> <p> </p> <p><strong>Что мы хотим видеть в тебе:</strong></p> <ul> <li>любишь общаться;</li> <li>активный и энергичный;</li> <li>опыт работы с кассой (<strong>желателен,</strong> но не обязателен)</li> </ul> <p><em>А еще у нас никогда не бывает вечерних и ночных смен :)</em></p> <p><em>Будем с радостью ждать твой отклик на вакансию!</em></p> <p><em>________________________________________________________________________________</em></p> <p><em>Нам так же подходит Ваш опыт, если Вы работали в: магазинах (Подружка, Магнит Косметик, Улыбка Радуги, Магнит, Пятерочка, Верный и тд.), столовых (Столовая №1, Тарелка, Щелкунчик, Строганов групп и т.д.), кафе (Булки, Булочные Ф. Вольчека, Цех85, Хлебник, Люди Любят,</em>Бургер Кинг (BURGER KING), KFC, Теремок, <em>Вкусно и точка и т.д), ресторанах (</em>ТОКИО-CITY, ДоДо, Евразия, Subway<em>, DEL MAR, Mama Roma, Marketplace и т.д.)</em></p> <p> </p> <p> </p>"
80558903,Оператор производственной линии,"<p>Компания Гипфель - это ультрасовременный завод по производству булочек для бургеров, основной поставщик булочек для Burger King. Уникальное производственное оборудование, расширяемые мощности и максимальная автоматизация труда позволяют нам с уверенностью смотреть вперед и претендовать на лидирующие позиции в России.</p> <p>Мы приглашаем в нашу дружную команду Оператора производственной линии!</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Выполнение в установленные сроки производственных заданий по объему производства продукции, планируемому ассортименту.</p> </li> <li> <p>Обеспечение соблюдения технологического процесса.</p> </li> <li> <p>Настройка и обеспечение безаварийной и надежной работы оборудования.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Среднее-специальное образование.</p> </li> <li> <p>Базовые знания ПК.</p> </li> <li> <p>Обучаемость и желание обучаться.</p> </li> <li> <p>Ответственность, доброжелательность, умение работать в команде.</p> </li> <li> <p>Рассматриваем потенциально перспективных кандидатов <strong>в том числе и без опыта работы</strong>.</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>Интересная работа на ультрасовременном производстве в команде профессионалов, любящих свое дело.</p> </li> <li> <p>Достойная заработная плата. Платим всегда вовремя, индексируем ежегодно.</p> </li> <li> <p>Возможность получить престижную и востребованную профессию.</p> </li> <li> <p>Реальная возможность карьерного роста до руководящих позиций.</p> </li> <li> <p>Бронь при мобилизации.</p> </li> <li> <p>Оформление по ТК РФ, &quot;белая&quot; заработная плата, полное соблюдение всех социальных гарантий.</p> </li> <li> <p>ДМС(включая стоматологию) после 6 месяцев работы.</p> </li> <li> <p>Вкусные бесплатные обеды.</p> </li> <li> <p>Общежитие иногородним.</p> </li> <li> <p>График 2/1/2/3 с 8.00 до 20.00 (дневные и ночные смены).</p> </li> <li> <p><strong>Место работы: Московская Область, Технопарк &quot;Сынково&quot; (20 км. от МКАД по Симферопольскому шоссе). </strong></p> </li> <li> <p><strong>Корпоративный транспорт от Подольска (Силикатная, Площадь Ленина, станция Гривно).</strong></p> </li> </ul>"
,,
,,
,,
